,file_name,face_pt1_x_pos,face_pt1_y_pos,face_pt2_x_pos,face_pt2_y_pos,left_eye_pt1_x_pos,left_eye_pt1_y_pos,left_eye_pt2_x_pos,left_eye_pt2_y_pos,right_eye_pt1_x_pos,right_eye_pt1_y_pos,right_eye_pt2_x_pos,right_eye_pt2_y_pos,left_eye_horizontal,left_eye_vertical,right_eye_horizontal,right_eye_vertical,face_detection,left_eye_close,right_eye_close,result_close,face_confidence
0,R_587_40_M_01_M0_G1_C1_01.jpg,220.0,436.0,538.0,919.0,290.0,604.0,347.0,618.0,430.0,592.0,481.0,607.0,57.3149195236284,11.0,51.24451190127583,15.033296378372908,1,0,0,0,829
0,R_587_40_M_01_M0_G1_C1_02.jpg,218.0,438.0,538.0,922.0,290.0,600.0,349.0,617.0,431.0,591.0,483.0,608.0,59.30430001273095,14.035668847618199,52.23983154643591,17.029386365926403,1,0,0,0,831
0,R_587_40_M_01_M0_G1_C1_03.jpg,249.0,431.0,572.0,917.0,320.0,599.0,374.0,611.0,456.0,594.0,512.0,609.0,54.08326913195984,12.0,56.08029957123981,13.038404810405298,1,0,0,0,855
0,R_587_40_M_01_M0_G1_C1_04.jpg,234.0,414.0,552.0,902.0,301.0,595.0,354.0,609.0,433.0,585.0,487.0,598.0,53.46026561849464,10.04987562112089,54.08326913195984,12.165525060596439,1,0,0,0,842
0,R_587_40_M_01_M0_G1_C1_05.jpg,252.0,420.0,563.0,924.0,317.0,597.0,373.0,614.0,454.0,585.0,506.0,600.0,56.568542494923804,13.038404810405298,52.3450093132096,14.035668847618199,1,0,0,0,837
0,R_587_40_M_01_M0_G1_C1_06.jpg,240.0,429.0,558.0,917.0,316.0,593.0,370.0,607.0,452.0,592.0,505.0,606.0,54.037024344425184,12.041594578792296,53.009433122794285,13.152946437965905,1,0,0,0,844
0,R_587_40_M_01_M0_G1_C1_07.jpg,277.0,416.0,595.0,952.0,358.0,586.0,420.0,599.0,501.0,593.0,555.0,609.0,62.03224967708329,10.0,54.147945482723536,13.038404810405298,1,0,0,0,768
0,R_587_40_M_01_M0_G1_C1_08.jpg,292.0,468.0,614.0,977.0,411.0,612.0,461.0,631.0,530.0,619.0,570.0,633.0,51.92301994298868,4.242640687119285,40.80441152620633,14.866068747318506,1,1,0,0,762
0,R_587_40_M_01_M0_G1_C1_09.jpg,271.0,424.0,586.0,935.0,339.0,597.0,393.0,610.0,473.0,589.0,526.0,605.0,54.147945482723536,12.041594578792296,53.150729063673246,15.132745950421556,1,0,0,0,811
0,R_587_40_M_01_M0_G1_C1_10.jpg,256.0,426.0,574.0,900.0,324.0,593.0,380.0,609.0,459.0,584.0,514.0,598.0,56.22277118748239,14.142135623730951,55.14526271584895,13.152946437965905,1,0,0,0,829
0,R_587_40_M_01_M0_G1_C1_11.jpg,248.0,414.0,567.0,949.0,326.0,592.0,382.0,605.0,465.0,586.0,517.0,597.0,56.32051136131489,8.06225774829855,52.03844732503075,10.44030650891055,1,0,0,0,840
0,R_587_40_M_01_M0_G1_C1_12.jpg,201.0,434.0,524.0,939.0,243.0,600.0,298.0,617.0,379.0,579.0,433.0,595.0,55.731499172371095,14.035668847618199,54.91812087098393,13.601470508735444,1,0,0,0,727
0,R_587_40_M_01_M0_G1_C1_13.jpg,246.0,443.0,562.0,941.0,300.0,616.0,362.0,633.0,446.0,598.0,500.0,613.0,62.64982043070834,13.152946437965905,54.74486277268398,13.152946437965905,1,0,0,0,848
0,R_587_40_M_01_M0_G1_C1_14.jpg,253.0,432.0,570.0,944.0,318.0,603.0,374.0,618.0,455.0,591.0,508.0,606.0,56.32051136131489,11.0,53.33854141237835,15.033296378372908,1,0,0,0,846
0,R_587_40_M_01_M0_G1_C1_15.jpg,290.0,450.0,612.0,972.0,393.0,616.0,456.0,631.0,535.0,585.0,561.0,630.0,63.00793600809346,14.035668847618199,51.97114584074513,9.848857801796104,1,0,0,0,788
0,R_587_40_M_01_M0_G1_C1_16.jpg,234.0,450.0,549.0,923.0,306.0,610.0,363.0,621.0,445.0,606.0,500.0,624.0,57.14017850864661,9.0,55.00909015790027,17.0,1,0,0,0,866
0,R_587_40_M_01_M0_G1_C1_17.jpg,299.0,440.0,609.0,995.0,481.0,546.0,541.0,606.0,504.0,555.0,528.0,609.0,84.8528137423857,8.54400374531753,54.147945482723536,7.280109889280518,1,1,0,0,475
0,R_587_40_M_01_M0_G1_C1_18.jpg,219.0,452.0,537.0,934.0,291.0,619.0,346.0,635.0,432.0,607.0,487.0,623.0,55.57877292636101,12.041594578792296,55.14526271584895,15.033296378372908,1,0,0,0,827
0,R_587_40_M_01_M0_G1_C1_19.jpg,236.0,428.0,550.0,924.0,303.0,597.0,360.0,614.0,442.0,590.0,498.0,604.0,57.14017850864661,16.0312195418814,56.22277118748239,13.341664064126334,1,0,0,0,843
